id,quid,question,true_answer,llm_answer,correct,llm_answer_chosen,reward_method,reward_score
0,,a shopkeeper sold an article offering a discount of 5 % and earned a profit of 31.1 % . what would have been the percentage of profit earned if no discount had been offered ?,a,"A
------
A
------
A",True,a,MAJOR_ANSWER,
1,,what will be the difference between simple and compound interest at 14 % per annum on a sum of rs . 1000 after 4 years ?,a,"B
------
B
------
B",False,b,MAJOR_ANSWER,
2,,"there are 28 stations between hyderabad and bangalore . how many second class tickets have to be printed , so that a passenger can travel from any station to any other station ?",c,"C
------
C
------
C",True,c,MAJOR_ANSWER,
3,,the present population of a town is 3888 . population increase rate is 20 % p . a . find the population of town before 2 years ?,e,"A
------
(A)
------
A",False,a,MAJOR_ANSWER,
4,,the triplicate ratio of 1 : 9 is ?,e,"E
------
E
------
E",True,e,MAJOR_ANSWER,
5,,the sum of all the integers s such that - 26 < s < 24 is,d,"A
------
(D)
------
D",True,d,MAJOR_ANSWER,
6,,"a full stationary oil tank that is a right circular cylinder has a radius of 100 feet and a height of 25 feet . oil is pumped from the stationary tank to an oil truck that has a tank that is a right circular cylinder until the truck ' s tank is completely filled . if the truck ' s tank has a radius of 6 feet and a height of 10 feet , how far ( in feet ) did the oil level drop in the stationary tank ?",a,"B
------
B
------
B",False,b,MAJOR_ANSWER,
7,,"each week a restaurant serving mexican food uses the same volume of chili paste , which comes in either 35 - ounce cans or 25 - ounce cans of chili paste . if the restaurant must order 20 more of the smaller cans than the larger cans to fulfill its weekly needs , then how manysmallercans are required to fulfill its weekly needs ?",b,"C
------
C
------
C",False,c,MAJOR_ANSWER,
8,,"if n is an integer and 101 n ^ 2 is less than or equal to 10000 , what is the greatest possible value of n ?",c,"(B)
------
B
------
B",False,b,MAJOR_ANSWER,
9,,"a constructor estimates that 10 people can paint mr khans house in 4 days . if he uses 5 people instead of 10 , how long will they take to complete the job ?",d,"A
------
A
------
A",False,a,MAJOR_ANSWER,
10,,the population of a town is 8000 . it decreases annually at the rate of 20 % p . a . what will be its population after 3 years ?,b,"B
------
B
------
B",True,b,MAJOR_ANSWER,
11,,the percentage profit earned by selling an article for rs . 1920 is equal to the percentage loss incurred by selling the same article for rs . 1280 . at what price should the article be sold to make 40 % profit ?,e,"A
------
A
------
A",False,a,MAJOR_ANSWER,
12,,"running at the same constant rate , 6 identical machines can produce a total of 360 bottles per minute . at this rate , how many bottles could 10 such machines produce in 4 minutes ?",c,"C
------
C
------
C",True,c,MAJOR_ANSWER,
13,,there are 1000 buildings in a street . a sign - maker is contracted to number the houses from 1 to 1000 . how many zeroes will he need ?,c,"B
------
B
------
B",False,b,MAJOR_ANSWER,
14,,"a man bought 20 shares of rs . 50 at 5 discount , the rate of dividend being 13 . the rate of interest obtained is :",c,"C
------
C
------
(C)",True,c,MAJOR_ANSWER,
15,,? % of 360 = 108,a,"B
------
B
------
B",False,b,MAJOR_ANSWER,
16,,a train 300 m long is running at a speed of 45 km / hr . in what time will it pass a bridge 150 m long ?,b,"B
------
B
------
B",True,b,MAJOR_ANSWER,
17,,what is the sum of all digits for the number 10 ^ 29 - 41 ?,a,"B
------
B
------
C",False,b,MAJOR_ANSWER,
18,,a train running at the speed of 120 km / hr crosses a pole in 18 seconds . what is the length of the train ?,e,"B
------
C
------
C",False,c,MAJOR_ANSWER,
19,,a train 100 meters long completely crosses a 300 meters long bridge in 45 seconds . what is the speed of the train is ?,a,"B
------
C
------
B",False,b,MAJOR_ANSWER,
20,,"each month a retailer sells 100 identical items . on each item he makes a profit of $ 40 that constitutes 10 % of the item ' s price to the retailer . if the retailer contemplates giving a 5 % discount on the items he sells , what is the least number of items he will have to sell each month to justify the policy of the discount ?",d,"C
------
B
------
C",False,c,MAJOR_ANSWER,
