id,quid,question,true_answer,llm_answer,correct,llm_answer_chosen,reward_method,reward_score,task_prompt_all,task_prompts_majority
0,,How many ways are there to divide a set of 8 elements into 5 non-empty ordered subsets?,11760,34105,False,,,,,[]
1,,what is the value of $\int_{-infty}^{+infty} sin(3*t)*sin(t/\pi)/t^2 dt$?,1.0,0,False,,,,,[]
3,,Please solve the equation 2*x^3 + e^x = 10 using newton-raphson method.,1.42,2,False,,,,,[]
4,,How many ways are there to divide a set of 7 elements into 4 non-empty ordered subsets?,4200,350,False,,,,,[]
7,,"Compute $\int_{|z| = 1} z^2 sin(1/z) dz$. The answer is Ai with i denoting the imaginary unit, what is A?",-1.047,"The integral \(\int_{|z| = 1} z^2 \sin(1/z) \, dz\) is a contour integral over the unit circle \(|z| = 1\). We can expand \(\sin(1/z)\) as a power series:

\[
\sin(1/z) = \sum_{n=0}^{\infty} \frac{(-1)^n}{(2n+1)!} \left(\frac{1}{z}\right)^{2n+1} = \frac{1}{z} - \frac{1}{6z^3} + \frac{1}{120z^5} - \cdots
\]

Multiplying by \(z^2\), we have:

\[
z^2 \sin(1/z) = z^2 \left( \frac{1}{z} - \frac{1}{6z^3} + \frac{1}{120z^5} - \cdots \right) = z - \frac{1}{6z} + \frac{1}{120z^3} - \cdots
\]

The integral \(\int_{|z| = 1} z^2 \sin(1/z) \, dz\) can be evaluated term by term. The integral of each term is:

- \(\int_{|z| = 1} z \, dz = 0\) because \(z\) is analytic inside and on the contour.
- \(\int_{|z| = 1} \frac{1}{z} \, dz = 2\pi i\) by the Cauchy integral formula.
- \(\int_{|z| = 1} \frac{1}{z^3} \, dz = 0\) because \(\frac{1}{z^3}\) is analytic inside and on the contour.

Thus, the only non-zero contribution comes from the \(-\frac{1}{6z}\) term:

\[
\int_{|z| = 1} \left(z - \frac{1}{6z} + \frac{1}{120z^3} - \cdots \right) \, dz = -\frac{1}{6} \int_{|z| = 1} \frac{1}{z} \, dz = -\frac{1}{6} \cdot 2\pi i = -\frac{\pi i}{3}
\]

The integral evaluates to \(-\frac{\pi i}{3}\), which is of the form \(Ai\) where \(A = -\frac{\pi}{3}\).

Therefore, the value of \(A\) is:

\(-\frac{\pi}{3}\)",False,,,,,[]
8,,A container weighs 3.22 lb force when empty. Filled with water at 60°F the mass of the container and its contents is 1.95 slugs. Find its volume in cubic feet. Assume density of water = 62.4 lb force/ft3.,0.955,0.0279,False,,,,,[]
10,,"Find the x value of the solutions to the linear system: 7x - y = 15x, -6x + 8y = 15y.",0,0,True,,,,,[]
11,,"In Jules Verne's 1865 story with this title, three men went to the moon in a shell fired from a giant cannon sunk in the earth in Florida. Find the minimum muzzle speed that would allow a shell to escape from the earth completely (the escape speed). Neglect air resistance, the earth's rotation, and the gravitational pull of the moon. The earth's radius and mass are $R_E}=$ $6.38 \times 10^6 m$ and $m_E=5.97 \times 10^{24} kg$. (Unit: 10 ^ 4 m/s)",1.12,11,False,,,,,[]
16,,"What is the number of labelled forests on 10 vertices with 5 connected components, such that vertices 1, 2, 3, 4, 5 all belong to different connected components?",50000,30240,False,,,,,[]
17,,Let g(x) be the inverse of f(x) = x + cos(x). What is g'(1)?,1,1,True,,,,,[]
19,,"Let W(t) be the standard Brownian motion. Define X(t) = exp{W(t)}, for all t \in [0, \infty). Let 0 < s < t. Find Cov(X(s=1/2), X(t=1)).",1.3733,0,False,,,,,[]
20,,Consider a random walk on a connected graph with 4 edges. What is the highest possible entropy rate? Use base 2 logarithm and return the entropy rate in bits.,1.094,2,False,,,,,[]
22,,"The shock absorbers in an old car with mass 1000 kg are completely worn out. When a 980-N person climbs slowly into the car at its center of gravity, the car sinks 2.8 cm. The car (with the person aboard) hits a bump, and the car starts oscillating up and down in SHM. Model the car and person as a single body on a single spring, and find the frequency of the oscillation. (Unit: Hz)",0.9,0.88,False,,,,,[]
23,,"Find the smallest positive integer that leaves a remainder of 1 when divided by 2, a remainder of 2 when divided by 3, a remainder of 3 when divided by 4, a remainder of 4 when divided by 5, and a remainder of 5 when divided by 6.",59,59,True,,,,,[]
