id,quid,question,answer,answer_type,choices,answer_word,facts
0,,a shopkeeper sold an article offering a discount of 5 % and earned a profit of 31.1 % . what would have been the percentage of profit earned if no discount had been offered ?,a,MULTIPLE_CHOICE,"a ) 38
b ) 27.675
c ) 30
d ) data inadequate
e ) none of these",,
1,,what will be the difference between simple and compound interest at 14 % per annum on a sum of rs . 1000 after 4 years ?,a,MULTIPLE_CHOICE,"a ) 129
b ) 130
c ) 124
d ) 133
e ) 145",,
2,,"there are 28 stations between hyderabad and bangalore . how many second class tickets have to be printed , so that a passenger can travel from any station to any other station ?",c,MULTIPLE_CHOICE,"a ) 156
b ) 167
c ) 870
d ) 352
e ) 380",,
3,,the present population of a town is 3888 . population increase rate is 20 % p . a . find the population of town before 2 years ?,e,MULTIPLE_CHOICE,"a ) 2500
b ) 2100
c ) 3500
d ) 3600
e ) 2700",,
4,,the triplicate ratio of 1 : 9 is ?,e,MULTIPLE_CHOICE,"a ) 1 : 0
b ) 1 : 8
c ) 1 : 7
d ) 1 : 2
e ) 1 : 729",,
5,,the sum of all the integers s such that - 26 < s < 24 is,d,MULTIPLE_CHOICE,"a ) 0
b ) - 2
c ) - 25
d ) - 49
e ) - 51",,
6,,"a full stationary oil tank that is a right circular cylinder has a radius of 100 feet and a height of 25 feet . oil is pumped from the stationary tank to an oil truck that has a tank that is a right circular cylinder until the truck ' s tank is completely filled . if the truck ' s tank has a radius of 6 feet and a height of 10 feet , how far ( in feet ) did the oil level drop in the stationary tank ?",a,MULTIPLE_CHOICE,"a ) 0.036
b ) 0.36
c ) 0.6
d ) 6
e ) 3.6",,
7,,"each week a restaurant serving mexican food uses the same volume of chili paste , which comes in either 35 - ounce cans or 25 - ounce cans of chili paste . if the restaurant must order 20 more of the smaller cans than the larger cans to fulfill its weekly needs , then how manysmallercans are required to fulfill its weekly needs ?",b,MULTIPLE_CHOICE,"a ) 60
b ) 70
c ) 80
d ) 100
e ) 120",,
8,,"if n is an integer and 101 n ^ 2 is less than or equal to 10000 , what is the greatest possible value of n ?",c,MULTIPLE_CHOICE,"a ) 7
b ) 8
c ) 9
d ) 10
e ) 11",,
9,,"a constructor estimates that 10 people can paint mr khans house in 4 days . if he uses 5 people instead of 10 , how long will they take to complete the job ?",d,MULTIPLE_CHOICE,"a ) 10
b ) 4
c ) 5
d ) 8
e ) 6",,
10,,the population of a town is 8000 . it decreases annually at the rate of 20 % p . a . what will be its population after 3 years ?,b,MULTIPLE_CHOICE,"a ) 5100
b ) 4096
c ) 5200
d ) 5400
e ) 5500",,
11,,the percentage profit earned by selling an article for rs . 1920 is equal to the percentage loss incurred by selling the same article for rs . 1280 . at what price should the article be sold to make 40 % profit ?,e,MULTIPLE_CHOICE,"a ) 2000
b ) 2778
c ) 2299
d ) 2778
e ) 2240",,
12,,"running at the same constant rate , 6 identical machines can produce a total of 360 bottles per minute . at this rate , how many bottles could 10 such machines produce in 4 minutes ?",c,MULTIPLE_CHOICE,"a ) 648
b ) 1800
c ) 2400
d ) 10800
e ) 10900",,
13,,there are 1000 buildings in a street . a sign - maker is contracted to number the houses from 1 to 1000 . how many zeroes will he need ?,c,MULTIPLE_CHOICE,"a ) 190
b ) 191
c ) 192
d ) 193
e ) 194",,
14,,"a man bought 20 shares of rs . 50 at 5 discount , the rate of dividend being 13 . the rate of interest obtained is :",c,MULTIPLE_CHOICE,"a ) 27 %
b ) 87 %
c ) 15 %
d ) 66 %
e ) 88 %",,
15,,? % of 360 = 108,a,MULTIPLE_CHOICE,"a ) 30
b ) 36
c ) 64
d ) 72
e ) none of these",,
16,,a train 300 m long is running at a speed of 45 km / hr . in what time will it pass a bridge 150 m long ?,b,MULTIPLE_CHOICE,"a ) 40
b ) 36
c ) 41
d ) 42
e ) 34",,
17,,what is the sum of all digits for the number 10 ^ 29 - 41 ?,a,MULTIPLE_CHOICE,"a ) 257
b ) 242
c ) 231
d ) 202
e ) 187",,
18,,a train running at the speed of 120 km / hr crosses a pole in 18 seconds . what is the length of the train ?,e,MULTIPLE_CHOICE,"a ) 560
b ) 570
c ) 580
d ) 590
e ) 600",,
19,,a train 100 meters long completely crosses a 300 meters long bridge in 45 seconds . what is the speed of the train is ?,a,MULTIPLE_CHOICE,"a ) 32 kmph
b ) 76 kmph
c ) 34 kmph
d ) 43 kmph
e ) 40 kmph",,
20,,"each month a retailer sells 100 identical items . on each item he makes a profit of $ 40 that constitutes 10 % of the item ' s price to the retailer . if the retailer contemplates giving a 5 % discount on the items he sells , what is the least number of items he will have to sell each month to justify the policy of the discount ?",d,MULTIPLE_CHOICE,"a ) 191
b ) 213
c ) 221
d ) 223
e ) 226",,
21,,"the average age of 15 students of a class is 14 years . out of these , the average age of 5 students is 14 years and that of the other 9 students is 16 years . tee age of the 15 th student is ?",b,MULTIPLE_CHOICE,"a ) 3 years
b ) 4 years
c ) 5 years
d ) 6 years
e ) 7 years",,
22,,"bookman purchased 55 copies of a new book released recently , 10 of which are hardback and sold for $ 20 each , and rest are paperback and sold for $ 10 each . if 14 copies were sold and the total value of the remaining books was 460 , how many paperback copies were sold ?",e,MULTIPLE_CHOICE,"a ) 10
b ) 11
c ) 12
d ) 13
e ) 9",,
23,,diana is painting statues . she has 1 / 2 of a gallon of paint remaining . each statue requires 1 / 16 gallon of paint . how many statues can she paint ?,a,MULTIPLE_CHOICE,"a ) 8
b ) 20
c ) 28
d ) 14
e ) 19",,
24,,"if the price of gasoline increases by 25 % and a driver intends to spend only 20 % more on gasoline , by how much percent should the driver reduce the quantity of gasoline that he buys ?",c,MULTIPLE_CHOICE,"a ) 2 %
b ) 3 %
c ) 4 %
d ) 5 %
e ) 6 %",,
25,,"an art gallery has only paintings and sculptures . currently , 1 / 3 of the pieces of art are displayed , and 1 / 6 of the pieces on display are sculptures . if 1 / 3 of the pieces not on display are paintings , and 1000 sculptures are not on display , how many pieces of art does the gallery have ?",b,MULTIPLE_CHOICE,"a ) 360
b ) 2250
c ) 540
d ) 640
e ) 720",,
26,,"john and ingrid pay 30 % and 40 % tax annually , respectively . if john makes $ 60000 and ingrid makes $ 72000 , what is their combined tax rate ?",d,MULTIPLE_CHOICE,"a ) 32 %
b ) 34.4 %
c ) 35 %
d ) 35.6 %
e ) 36.4 %",,
27,,the lenght of a room is 5.5 m and width is 4 m . find the cost of paving the floor by slabs at the rate of rs . 900 per sq . metre .,a,MULTIPLE_CHOICE,"a ) s . 19
800
b ) s . 15
600
c ) s . 16
500
d ) s . 17
600
e ) s . 17
900",,
28,,"a factory that employs 1000 assembly line workers pays each of these workers $ 5 per hour for the first 40 hours worked during a week and 1 ½ times that rate for hours worked in excess of 40 . what was the total payroll for the assembly - line workers for a week in which 30 percent of them worked 15 hours , 50 percent worked 40 hours , and the rest worked 50 hours ?",d,MULTIPLE_CHOICE,"a ) $ 180
000
b ) $ 185
000
c ) $ 190
000
d ) $ 177
500
e ) $ 205
000",,
29,,a corporation double its annual bonus to 100 of its employees . what percent of the employees ’ new bonus is the increase ?,a,MULTIPLE_CHOICE,"a ) 50 %
b ) 12 %
c ) 8 %
d ) 6 %
e ) 5 %",,
30,,a and b together do a work in 20 days . b and c together in 15 days and c and a in 12 days . then b alone can finish same work in how many days ?,b,MULTIPLE_CHOICE,"a ) 50
b ) 60
c ) 45
d ) 35
e ) 48",,
31,,"two trains of equal length , running with the speeds of 60 and 16 kmph , take 50 seconds to cross each other while they are running in the same direction . what time will they take to cross each other if they are running in opposite directions ?",d,MULTIPLE_CHOICE,"a ) 10.11
b ) 8.11
c ) 77.2
d ) 13.15
e ) 22.22",,
